,full_text,sentimen,aspect
27,i really wish to go to a coldplay concert,Positive,no aspect
28,the dark side of  concert in jakarta ,Neutral,no aspect
29,tbh coldplay was one of the best concerts i ever went to i miss it a lot,Positive,no aspect
30,scientists warn coldplay fans to dust off face masks ahead of perth concerts  university of western australia epidemiologist zoe hyde said anyone attending the concert should wear a mask preferably an n on public transport and at the stadium   ,Negative,no aspect
31,i was like ready to have some jealous with coldplay concert but nvm my expectation is kpop concert ijbol,Positive,no aspect
32, its really good to see this amp  i cant make it to their concert in snbj soon which is on upcoming wednesday and i have already let go the tickets it was a tough decisions ever for me but i really really need to  inshaallah see you in   ,Positive,no aspect
33,muslim antilgbt groups descend on coldplays first concert in indonesia ,Neutral,no aspect
34,what happened at the coldplay concert,Neutral,no aspect
35,conservative muslims in indonesia protest coldplay concert over the bands lgbtq support ,Positive,no aspect
36,  best concert  ,Positive,no aspect
37, the coldplay weekend trip concert potential,Neutral,no aspect
38, best concert in my life thx for amazing performance  coldplayjakarta,Positive,no aspect
39, they were at the coldplay concert and she so happened to be there too ,Neutral,no aspect
40,  some people were protesting against the concert in indonesia saying coldplay support lgbtq,Neutral,no aspect
41,coldplay covid concert fears  proudly sponsored by pfizer ,Positive,no aspect
42,muslim antilgbt groups descend on coldplays first concert in indonesia coldplay gayrights ,Neutral,no aspect
43, definitively knows how to rock it on stage your concerts are spectacular and particularly loved the one at the rose bowl in la congrats to one of the most successful bands of the st century  ,Positive,experience
44,conservative muslims in indonesia protest coldplay concert over the bands lgbtq support ,Positive,no aspect
45,wts want to sell coldplay concert in singapore   january  tix cat  sec  row j original price  send me a dm if you are interested  all proof by dm   coldplay,Positive,ticket
46,from copland to coldplay our senior music ensembles performed their chosen repertoire for friends and family in our endofyear music ensembles concert congratulations to all our musicians for a delightful night of music ,Positive,experience
47,sacrificed my jan  filed leave filed this para sana i get enough rest for coldplays concert the next day pero as a naghihingalo leave credits q pa lang no choice ako but iretract to puyat gaming nanaman before an event lets gaur  for fate in taipei,Neutral,no aspect
48,muslim antilgbt groups descend on coldplays first concert in indonesia ,Neutral,no aspect
49,coldplay concert india  tickets price booking dates for asia tour ,Neutral,ticket
50,coldplay had the best concert of  for me i saw a lot of people bey in second place but coldplay my goodness  its a show of a lifetime if you get a chance to see them live go,Positive,experience
51,gila coldplay concert indo really chaos like wtf bruh,Negative,no aspect
52,one of my favorite song of all time clocks by   what a wonderful concert coldplayinjakarta ,Positive,no aspect
53, please if you going back to indonesia make a multiday concert like in singapore switzerland thailand etc  or if you want to go to another city in indonesia its okay i think if coldplay held a concert in surabaya or bali beside jakarta maybe will also succeed,Positive,no aspect
54, one coldplay concert before my last breath amen,Neutral,no aspect
55, i really have only few wins in my life one of them was watching your concert guys thank you for coming to jakarta ,Positive,no aspect
56, you say that after every concert,Neutral,no aspect
57, most indonesians are not extremists  if people want to listen to coldplay at the concert let them,Positive,no aspect
58,am coldplay show to go on despite antilgbtq threats british poprock band coldplay will perform its scheduled concert in jakarta on wednesday night despite calls by antilgbtq demonstrators in the      view article ,Positive,experience
59,keren banget   you guys are amazing the best concert experience ive ever had thank you for coming to indonesia please comeback again on the next tour coldplayjakarta ,Positive,experience
60,conservative muslims in indonesia protest coldplay concert over the bands lgbtq support coldplayjakarta coldplayinjakarta  lgbtq ,Positive,no aspect
61,the other side of the successful coldplay concert in jakarta there were sad stories about many people whose tickets were said to be invalid when in fact they bought them themselves heres the thread   coldplayjakarta coldplayinjakarta,Positive,no aspect
62,conservative muslims in indonesia protest coldplay concert over the bands lgbtq support  ,Positive,no aspect
63, remember to concert every week chris,Neutral,no aspect
64,violent clashes in indonesia as protesters call for coldplay concert to be scrapped over bands support of lgbtq community ,Negative,no aspect
65,conservative muslims in indonesia protest coldplay concert over the bands lgbtq support  via ,Positive,no aspect
66,just an unusual photo from the concert   thank you for one of the best night ever    coldplayjakarta  theywillbeback ,Positive,no aspect
67, what a dream come true  thank you for the best concert experience ,Positive,experience
68, ive been to several coldplay concerts they are amazing,Positive,no aspect
69,wtb want to buy coldplay malaysia cat   tickets cod only  tags wts wtb want to buy coldplay concert malaysia,Positive,no aspect
70,the sort of antigay regime the propalestinian protesters desire  muslim antilgbt groups descend on coldplays first concert in indonesia ,Positive,no aspect
71,all of my irls are at the coldplay concert,Neutral,no aspect
72,tbf  coldplay gigs are an affront to humanity  muslim antilgbt groups descend on coldplays first concert in indonesia ,Neutral,no aspect
73,enjoy your last coldplay concert in indonesia,Positive,no aspect
74,just had the best concert ever and the happiest day of my life thankyouuuu ,Positive,no aspect
75,probably the best concert ive ever been to the energy the vibe lighting sound people around me thank you   been waiting for this moment please come back coldplayjakarta  ,Positive,experience
76, cant wait for the second concert in indonesiaaa,Neutral,no aspect
77,probably the best concert ive ever been to thx  ,Positive,no aspect
78, best concert ever for me wish you can sing the astronout but over all very enjoying all performance we want more visit from you guys ,Positive,no aspect
79,had so much fun today coldplay concert was worth every penny for reaaaallllll,Positive,ticket
80,guess who cried on a coldplay concert during my universe,Negative,no aspect
81, well be waiting and youre welcomed anytime come back folks there are still many many more people who wanna attend your concert  rest well and have a great asian and perth tour ,Positive,no aspect
82,conservative muslims in indonesia protest coldplay concert over lgbtq support   ,Positive,no aspect
83,coldplay concert is amazing watch it if you havent ,Positive,no aspect
84,dozens of conservative muslims marched in indonesias capital on friday calling for cancellation of coldplays concert later this month saying the british bands support of lesbian gay bisexual and transgender will corrupt young people ,Positive,no aspect
85, will you redo a manchester concert ,Neutral,no aspect
86, amazing concert guys  coldplaylatam,Positive,no aspect
87, always amazing concerts guys ,Positive,no aspect
88,all those lbgt groups for hamas pls note  muslim antilgbt groups descend on coldplays first concert in indonesia ,Positive,no aspect
89,flew all the way from sydney for the best concert ever tonight will be an unforgettable night coldplayinjakarta gotta admit that this one has beaten the one at the royal albert hall that i went to fucking awesome crowd indonesia next stop sydney please   ,Positive,experience
90,you gotta come back here and do a  days concert   you know we got a millions of people across the country with complexities to buy a tickets who wants to watch you guys playing live so disappointed ,Negative,experience
91, too cute thx for coming here i had to experience one of the best concert come again,Positive,experience
92, next time make it  days concert in indonesia,Neutral,no aspect
93,finally    thank for amazing concert in my life see you soon im promise ,Positive,no aspect
94,just remembered that im going for coldplays concert next week oh my god i almost forgot,Positive,no aspect
95,best concert ever thank you ,Positive,no aspect
96,so my upcoming concerts coldplay in kl ed sheeran in kl niall horan in sg,Neutral,no aspect
97,probably the best concert ive ever been to i love the energy the souls lightning sound people who is in love around me ive been waiting for this moment  pls come back indonesia truly love you,Positive,experience
98,malaysian are hypocrites we bullied saudi for having a concert yet we are here welcoming coldplay ,Negative,no aspect
99,alhamdulillah the best night ever with mrs carrisa st time coldplay concert in indonesia and for me st time international concert  ,Positive,no aspect
100,the most beautiful concert  coldplay ,Positive,no aspect
101,yoongi had fun at coldplay concert today guys ,Positive,no aspect
102,konser coldplay jakarta bener best concert ever,Positive,no aspect
103,coldplay music of the spheres jakarta  the prettiest concert ever look at all the lights ,Positive,experience
104,  sky full of stars was playing on the radio when i got home and thought of you at the concert,Positive,no aspect
105,conservative muslims in indonesia protest coldplay concert over the bands lgbtq support ,Positive,no aspect
106, coldplay concert in jkt last night people force their way in,Neutral,no aspect
107,over  conservative muslims marched in indonesias capital on wednesday demanding the cancellation of a coldplay concert due to the british bands support for the lgbtq community ,Positive,no aspect
108,harus bgt once in a lifetime nonton coldplay sihhh such a beautiful concert ,Positive,no aspect
109,hah gila maliq dessentials jd line up concert coldplay,Neutral,no aspect
110,i just come back from my little adventure with my friend we went to coldplay concert to buy a ticket for my friend and we got nothing because all the prices were overpriced so we just walked around had chicken wings for dinner and back to the venue to watch a softball match ,Positive,ticket
111,to all my coldplay friends who attended tonights concert may you all have a great way to deal with post concert depression  coldplayjakarta coldplayinjakarta coldplayindonesia,Positive,no aspect
112,one of the best concert ever thank you   coldplayinjakarta musicofthespheresworldtour ,Positive,no aspect
113,  violent clashes in indonesia as protesters call for coldplay concert to be canceled due to the bands support for the lgbtq community ,Negative,no aspect
114, coldplay had a concert movie in theaters earlier this year coldplay  music of the spheres i saw at amc back in april ,Neutral,experience
115,someday  watch and attend to coldplays concert,Neutral,no aspect
116,conservative muslims in indonesia protest coldplay concert over the bands lgbtq support ,Positive,no aspect
117,demi nonton concert coldplay wa ganti warna rambut cut my bangs and be so girly xixixi,Negative,no aspect
118,good for them their country their rules muslim antilgbt groups descend on coldplays first concert in indonesia ,Positive,no aspect
119,wts coldplay concert in singapore   saturday th january    general standing festival only  tix dm for details  coldplayinsingapore coldplaysingapore motsworldtourinsg coldplaytickets motsinsingapore coldplaysg coldplayinsg wtscoldplay wtscoldplaysg,Positive,no aspect
120,today i got my rejection letter which i thought and was positive i will be accepted  but i had to go to coldplay concert so i was kindaaaaaa  happy and sad,Positive,no aspect
121, ure sooooooo fuckin awesome guys thank u for make a wonderful amp  colorful concert in jakarta  coldplayjakarta,Positive,no aspect
122,istg coldplay concert is so chaos bikin malu,Negative,no aspect
123,defo alot to learn as an event organizer wannabe from the coldplay concert shenanigans  iron grip dicipline should be our main concern,Neutral,no aspect
124,wts coldplay in singapore     tix cat  section x    tix standing pen    tix cat  section x    tix standing pen  full payment only will be ensured until entering the concert area ina bank transfer paypal  coldplayinsg ,Neutral,no aspect
125,my universe at the coldplay concert in la cant wait to meet my ot  my bangtan  my bts   ,Neutral,no aspect
126,what the fucking hell coldplay x maliq i said coldplay with maliq dessentials at todays concert mom i want to see thattt,Negative,no aspect
127,even terug denken aan coldplay concert toen ze everglow speelde zo hard gejankt can you play everglow because our friend cant glow anymore   ik mis je elies ,Positive,no aspect
128,one of the best concert in my life  thank youuu  you promised us to come back here soon and doing the concert in jakarta every week  coldplayjakarta ,Positive,no aspect
129,i do hope coldplay concert can be cancel it at the west malaysia as it will give chances for the east malaysia states to organise it,Positive,no aspect
130,  coldplay concerts are the best ,Positive,no aspect
131,muslim protesters demand the cancellation of a concert by british rock band coldplay which the protesters say supports lgbtq rights in violation of muslim doctrine near the gbk stadium where the band is scheduled to perform on the same day in jakarta on nov   ,Negative,experience
132,breaking protesters in indonesia call for coldplay concert to be scrapped over bands support of lgbtq community  ,Positive,no aspect
133,was coldplay doing a live concert ,Neutral,experience
134,daechwita coin purse making me feel extra cunty for coldplay concert thankiiies  ,Neutral,no aspect
135, wootteo spotted at coldplay concert in jakarta tonight welcome to jakarta wootteo   wootteo was bored because jins father was in the army so he went with uncle chris to jakarta to meet his mother   jin   btsjin coldplayinjakarta ,Positive,no aspect
136,looking at bmth and coldplay concert drama im so glad oor concert lancar dan aman except for kualitas merchnya yang ampas lmao,Positive,no aspect
137,tl my another acc full coldplay rn makin gabisa tdrrr so much amaze concert hwaaa ,Positive,no aspect
138, lisa have you seen the clips on here of the coldplay concert in jakarta indonesia looks amaze ,Positive,no aspect
139,goodbye to all the kpop concerts ive watched before  minggir kalian semua coldplay mau lewat,Neutral,no aspect
140,i thought id get fomo seeing coldplay concert snippets but apparently no lol im that immune to overplayed pop star huh,Positive,no aspect
141,since going to a music concert has been a thing i cant even count chaotic moments on two hands and it is embarassing cant really wait to know what really happened in the coldplay concert i bet there must have been chaotic stuff going on too lol,Positive,experience
142,muslim antilgbt groups descend on coldplays first concert in indonesia ,Neutral,no aspect
143,wtb coldplay concert singapore dm plsss coldplay singapore,Neutral,no aspect
144,chris martin pantun is the best i repeat the best moment of the concert tonight  you were epic coldplayindonesia coldplayinjakarta ,Positive,experience
145,best concert ever  coldplay  gila experience tergila,Positive,experience
146,woi coldplay seru banget real  best concert ive attended,Positive,no aspect
147,those who said theres no bad seat at coldplay concert    nggak kaaak ada stage c kaaak  stage c superioor kaaaak,Negative,facility
148,violent clashes in indonesia as protesters call for coldplay concert to be scrapped over bands support of lgbtq community ,Negative,no aspect
149,my timeline is full of coldplay concert in jakarta,Neutral,no aspect
150,i am going to coldplays concert in singapore at january i am going to coldplays concert in singapore at january i am going to coldplays concert in singapore at january i am going to coldplays concert in singapore at january,Neutral,no aspect
151,no phone the whole coldplayinjakarta concert every second recorded on my mind  thank you for today  see you again on  jan  at singapore  coldplayindonesia ,Positive,no aspect
152, the media really like to exaggerating stuff with few hardliners being the highlight to spread propaganda meanwhile this is coldplay in full pack stadium concert in indonesia ,Positive,no aspect
153, we waited years just for one day concert pls make it at least  days concert,Positive,no aspect
154,haidilao giving free bus to haidilao after coldplay concert is another level of marketing  ,Positive,no aspect
155,x has incredible update news on such as coldplay concert in jakarta through many ash about fake ticket,Negative,ticket
156,i watched a lot of concerts in  i also watched coldplay in bangkok but tbh coldplayinjakarta tonight was the prettiest and most beautiful music concert ive ever watched wah gila kek lu harus nonton sih sekali dalam hidup lu,Positive,experience
157, go try harder with exaggerating media propaganda bait this is coldplay in full pack stadium concert in indonesia ,Negative,no aspect
158,protesters all over the world are protesting over anything these days from palestine to coldplay concert yet youll hear them complain about cost of living crisis but not one person will start a protest against it with supermarkets or government costoflivingcrisis,Negative,ticket
159,dear armies who are going to coldplay concert find me to redeem hobi badge cause i got a lot left over   coldplayinkl ,Positive,no aspect
160,another music x lgbtq  story frm jakartawalked km cover lng this story but didnt tired at allmyb bcs im too disappointed rn coldplayinjakarta    conservative muslims in indonesia protest coldplay concert over the bands lgbtq support  ,Neutral,experience
161,breaking fierce clashes in jakarta protesters and police lock horns  in indonesias capital over coldplay concert the bands support for  lgbt community sparks controversy and protests jakarta coldplay ,Neutral,no aspect
162,i want to go to a coldplay concert alone so bad ,Negative,no aspect
163, any concert by coldplay should be stopped by anybody,Negative,no aspect
164,jakarta coldplay concert goers is the wristband sold  coldplay coldplayinjakarta,Neutral,no aspect
165,protesters in indonesia call for coldplay concert to be scrapped over bands support of   sky news ,Positive,no aspect
166,literally best concert experience thank you  ,Positive,experience
167,this has to be the wake up headline of the week  muslim anti lgbtq protesters demand coldplay concert be stopped ,Negative,no aspect
168,coldplay concert is tonight ,Neutral,no aspect
169,violent clashes in indonesia as protesters call for coldplay concert to be scrapped over bands support of lgbtq community ,Negative,no aspect
170,conservative muslims in indonesia protest coldplay concert over the bands lgbtq support no matter what the lgbtq community does they will never be accepted their religious beliefs wont allow it wake up wokesters ,Negative,no aspect
171,why this coldplay concert repo seems so chaos,Negative,no aspect
172,conservative muslims in indonesia protest coldplay concert over the bands lgbtq support whio tv  and whio radio indonesianews indonesianews worldnews asianews breakingnews video more than  conservative muslims marched in indonesias capital ,Positive,no aspect
173, sad that its another year that has passed me by but delighted that i have my health my family a holiday and  concert to go to  ,Positive,no aspect
174,tapi concert noah boleh   people can attend the concert amp  still show solidarity ok coldplay also has long expressed their support for palestine ,Positive,experience
175,going to a coldplay concert is a goal of mine,Neutral,no aspect
176, binusan wtb tickets concert coldplay sg,Neutral,no aspect
177,concert coldplay cancel ah sebab pas marah p,Negative,no aspect
178,im not even counting down the days for christmas or new years     days til coldplay ph concert ,Neutral,no aspect
179,  my girls enjoyed coldplay concert more than taylor swift,Positive,no aspect
180,conservative muslims in indonesia protest coldplay concert over the bands lgbtq support    ,Positive,no aspect
181,  respect the artist please this is coldplay concert,Positive,no aspect
182,le premier concert postcovid lanniversaire de seokjin megan thee stallion et coldplay you had to be there,Neutral,no aspect
183, jakarta vibes maybe scheduled more days for jakarta in the next concert,Neutral,no aspect
184,wait isnt coldplay also having a concert the same day as ncts imagine the traffic omg  wait so that means nct will prob be in the sports stadium since coldplay is using ph arena ,Neutral,no aspect
185,it really warms my heart and soul seeing so many happy people at the coldplay concert in jakarta,Positive,no aspect
186, phil now you know why jakarta need  days concert is there any question   meanwhile im running to singapore in next  months just to meet you guys ,Neutral,no aspect
187,the coldplay concert venue is not allowing any laptop or tablet to be brought in and here i was thinking maaaybe i can do some work before they start ,Neutral,facility
188,need a coldplay concert in my life,Neutral,no aspect
189,violent clashes in indonesia as protesters call for coldplay concert to be scrapped over bands support of lgbtq community ,Negative,no aspect
190, do you agree with the pro palestine in indonesia that want to cancel the coldplay concert,Positive,no aspect
191,violent clashes in indonesia as protesters call for coldplay concert to be scrapped over bands support of lgbtq community ,Negative,no aspect
192,coldplay concert looks fun,Positive,no aspect
193,wait im going to be at coldplay concert during ticket sales  ,Neutral,ticket
194, of all the reasons to scrap a coldplay concert,Neutral,no aspect
195,protesters in indonesia call for coldplay concert to be scrapped over bands support of lgbtq community ,Positive,no aspect
196,dear god this only applies for coldplay concert please forgive me,Positive,no aspect
197,if you guys plan nak pergi singapore next year for coldplay and taylor swift concert you can join this bus trip from jb  singapore national stadium  back to jb   you can save a lot for your accommodation   ,Positive,no aspect
198,socmed full of concert coldplay bikin mengiri ,Neutral,no aspect
199, could have stopped at want coldplay concert scrapped and i would have understood,Negative,no aspect
200,coldplay is in indonesia right now my wife told me they would be good for concert movie too any big acts dont necessarily think of only what bands you like personally apes think what bands are popular to the masses amc ,Positive,no aspect
201,more than  conservative muslims marched in indonesias capital on wednesday calling for the cancellation of a coldplay concert that night over the british bands support for the lgbtq community  ,Positive,no aspect
202,there are lots of legitimate reasons for demanding a coldplay concert is cancelled  this is not one of them,Negative,no aspect
203, yes big accounts amp ppl who are making coldplay pink other performers trend  many prob dont realize this is a thing but they could help open the gates amp  cause avalanche of new concerts at amc next yr  msm isnt covering the concert atmosphere at all ,Positive,experience
204, great scrap those concerts and come do extra in uk would love to see coldplay but all tickets sold out,Positive,no aspect
205,protesters in indonesia call for coldplay concert to be scrapped over bands support of lgbtq community  ,Positive,no aspect
206, this what radical islam is    muslim antilgbt groups descend on coldplays first concert in indonesia,Neutral,no aspect
207,there are many ways to be offended by a coldplay concert but that isnt one of them,Negative,no aspect
208,a large banner read reject cancel and disband coldplay concerts  ,Negative,no aspect
209,pov you couldnt witness coldplays first concert in jakarta  totally cry in a sky full of stars ,Negative,no aspect
210,wootteo spotted at coldplay concert in jakarta tonight welcome to jakarta wootteo   an army tagged us this at the concert  thank you   fix wootteo ikut om chris kemana mana  cr jinhitwwh jin   btsjin ,Positive,no aspect
211,i have left my office before the concert ends to avoid traffic adios coldplay it was super nice to sing along with you from almost  floors above the ground  ,Positive,no aspect
212,protesters in indonesia call for coldplay concert to be scrapped over bands support of lgbtq community  read more  ,Positive,no aspect
213,it is not actually so wrong when a nonfan attending coldplay concert for the vibesbcs its literally this cool ,Negative,no aspect
214,wts coldplay in singapore     tix cat  section x    tix standing pen    tix cat  section x    tix standing pen  full payment only will be ensured until entering the concert area ina bank transfer paypal  coldplayinsg ,Neutral,no aspect
215,send me your coldplay concert tonight plsssssss need every hiburan i can get,Neutral,no aspect
216,coldplay concert india  tickets price booking dates for asia tour ,Neutral,ticket
217,oh to experiencing a coldplay concert at least once before die,Negative,no aspect
218, it was a very hot and wonderful concert i can tell the post through the drums the picture is so cute im always looking forward to it,Positive,no aspect
219, have fun in indonesia im sad because i cant come to the concert yet,Positive,no aspect
220, you post it during the concert  awwww this is so sweet will you think of us during the concert  you are such a sweety love you ,Positive,no aspect
221, please come back next concert,Positive,no aspect
222, it doesnt seem possible at ph arena because there is a coldplay concert on  right,Neutral,no aspect
223,i just miss muse concert so much  but here is coldplay from tokyo dome   they performed my fave track charlie brown fun concert fun time with my bestie  ,Positive,no aspect
224,anjir biggest ticket concert scam of the year inimah coldplay indo anyingggg,Negative,ticket
225,hundreds of conservative muslims protested outside coldplays first ever concert in indonesia on wednesday clashing with police and booing concertgoers over the bands support for the lgbt community ,Positive,no aspect
226,hundreds of conservative muslims protested outside coldplays first ever concert in indonesia on wednesday clashing with police and booing concertgoers over the bands support for the lgbt community ,Positive,no aspect
227,enjoy ur coldplay concert umi sygggg  lt ,Positive,no aspect
228, having fun guys  semoga next concert bisa nonton i lob you coldplay ,Positive,no aspect
229,no bad seat on coldplays concert for sure ,Negative,facility
230,not going to a coldplay concert might be one of the regrets later in my life,Negative,no aspect
231,this happened when coldplay is having a concert in indonesia ,Neutral,no aspect
232,conservative muslims in indonesia protest coldplay concert over the bands lgbtq support from  ,Positive,no aspect
233,trying to enjoy coldplay concert by my friends igstory,Positive,no aspect
234,fully supporting this idea the concert should either be canceled or postponed to a more suitable time its important to express solidarity with our muslim brothers and sisters in palestine rather than enjoying ourselves at the coldplay concert ,Positive,no aspect
235, fully supporting this idea the concert should either be canceled or postponed to a more suitable time its important to express solidarity with our muslim brothers and sisters in palestine rather than enjoying ourselves at the coldplay concert ,Positive,no aspect
236,first song  omg the sound system for  concert in jakarta even sounds great  im impressed   coldplayjakarta,Positive,experience
237,god is real bc thank god i didnt try to go to the coldplay concert or else i wouldve gotten my period at those concert bathrooms like i would actually kms,Positive,no aspect
238,we heard the crowd is here waiting for coldplay and chris martin for their first performance in jakarta  tap  if you join the concert ,Positive,experience
239,coldplay granted new music and art visas for jakarta concert  tempoenglish,Positive,experience
240,manifesting another coldplay concert oneday so i can able to pay it bismillah,Negative,no aspect
241,wishing ppl who attend coldplay concert could take a sky full of stars transition video trend in the most beautiful way as possible bcs spending almost two damn hours in kuningan traffic was really messy so better make something out of it,Positive,no aspect
242, proof ticketing service coldplay music of spheres concert in jakarta  jkpopstarzz ,Neutral,experience
243,wooww  stage in jakarta looks as good as their concerts overseas im truly impressed now im looking forward to the sound system,Positive,experience
244,what do these islamic groups have against coldplay in particular like ive gone to several concerts the past month that no one gave a rats ass about,Negative,no aspect
245,coldplay concert next week and im just vibing with a rm ticket not studying the setlist ,Neutral,ticket
246,damn coldplays malaysia concert guidelines are kinda confusing and scary ,Negative,no aspect
247,coldplay is currently holding a world tour concert titled music of the spheres in several countries one of which is indonesia the british band held a concert in jakarta at gelora bung karno on wednesday   seatoday seatodaynews coldplay  musicofthespheres ,Neutral,experience
248,  has the concert not started yet,Neutral,no aspect
249,anti lgbt movement stage demonstration against coldplay concert in jakarta  tempoenglish,Negative,experience
250, bts iu shinee kygo coldplay cons puhon  ultimate goal concerts to see ,Neutral,no aspect
251,wts lfb wts   coldplay in jakarta cat   tickets  gbk stadium  november deposit is k   interested and serious buyers dm pls and willing to deposit dm  minutes to the concert   coldplayjakarta  coldplayjakarta coldplayinjakarta  coldplayticket,Positive,no aspect
252,  we have no problem if you want to concert in our country but remember one thing dont campaign lgbt coz lgbt will never be part of indonesian culture,Negative,no aspect
253,conservative muslims in indonesia protest coldplay concert over the bands lgbtq support ,Positive,no aspect
254, have fun in indonesia im sorry after waiting  years i still cant watch your concert guys,Positive,no aspect
255, im ready to see instagram stories twitter and fyp tiktok of people who come to the concert,Positive,no aspect
256,so excited for my daughter to have her st coldplay concert experience  in jakartas gbk stadium  lets have fun pippa  ,Positive,experience
257,oh damn ppl fr watching coldplay like i gen forgot it was gnna b an actual concert bkn cmn rebutan tiket kek idup mati alias fomo,Negative,no aspect
258,wts lfb wts   coldplay in jakarta cat   tickets  gbk stadium  november deposit is k   interested and serious buyers dm pls and willing to deposit dm  minutes to the concert   coldplayjakarta  coldplayjakarta coldplayinjakarta  coldplayticket,Positive,no aspect
259,almost  police and other security personnel are on duty at tonights coldplay concert at gelora bung karno stadium in jakarta its the british bands first ever concert in indonesia        motswt   via ,Positive,no aspect
260, just concerts dont campaign for lgbt in our country,Neutral,no aspect
261,coldplay concert india  tickets price booking dates for asia tour ,Neutral,ticket
262,enthusiasm soars high for coldplay concert in jakarta ,Positive,no aspect
263,me couldnt see  concert in jakarta  so sadcouldnt listen for his songs on spotify at all for weekscouldnt concentratesick gerd  me couldnt see  concert in jakarta a little sad but okay thats fine  waiting for live report  i like them,Positive,experience
264,im so tempted to buy coldplay concert tix,Neutral,no aspect
265,enjoy the concert coldplay,Positive,no aspect
266,coldplay concert india  tickets price booking dates for asia tour ,Neutral,ticket
267,all these one time performances that will never happen again since hobipalooza and i have not been to a single one  jin with coldplay joons indigo concert promotion performances on talk showsmusic shows not even yoongis tour ,Neutral,no aspect
268,kaohsiung fines  hotels for raising rates during coldplays taiwan concerts  taiwan news    ,Neutral,no aspect
269,gak nonton coldplay malam ini gapapa tapi tetep senang liat temanteman yg nonton pada excited   enjoy the show hope you had a magical night and hope it makes the best concert youve ever been to like it did to me  ,Positive,experience
270,conservative muslims in indonesia protest coldplay concert over the bands lgbtq support ,Positive,no aspect
271,are you ready for the concert of the year prepare yourself for coldplay music of the spheres world tour   head on over to our ig and fb to check out the event guide to ensure you have a smooth experience  for the full event guide head to   ,Positive,experience
272,are you ready for the concert of the year prepare yourself for coldplay music of the spheres world tour   head on over to our ig and fb to check out the event guide to ensure you have a smooth experience  for the full event guide head to   ,Positive,experience
273,anyone jual coldplay concert ticket cat  or  coldplaykl,Neutral,ticket
274,i think about how my coldplay concert is the day before  in bulacan like pleeeeeeaargrhtbghnrnenenamrm markkkkkkkkkk fly in  days earlier please go with meeeeeenrntnte,Positive,no aspect
275, i dont mind people standing up at concerts  its drunk people i cant stand they have ruined coldplay and sam fender for me this year why do people have to get hammered at gigs,Negative,no aspect
276,i nak tiket coldplay concert laaa,Neutral,no aspect
277,one of mj followers on ig posted on her instastory and tagged us she is attending coldplay concert in jakarta and taking picture in front on stadium while holding jins banner  enjoy the concert  ,Positive,no aspect
278,conservative muslims in indonesia protest coldplay concert over the bands lgbtq support  ,Positive,no aspect
279,conservative muslims in indonesia protest coldplay concert over the bands lgbtq support ,Positive,no aspect
